ID,Factor,Factor group,Factor category,Multiple_cat1,Multiple_cat2,Multiple_cat3,Topic,Clock,N total,Tissue,Race_Ethnicity,Sex,Twin_study,Cohort,Link
PUB001,Depression (MDD),Depression,MH,,,,Mental health,GrimAge,109,Blood,"Caucasian, Black, Asian, Hispanic/Non-hispanic",Both,No,Recruited,https://www.nature.com/articles/s41398-021-01302-0
PUB002,Anxiety disorder,Anxiety,MH,,,,Mental health,Horvath,20,Saliva,"Caucasian, African Brazilian, mixed",Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
PUB002,Anxiety disorder,Anxiety,MH,,,,Mental health,Horvath,34,Saliva,"Caucasian, African Brazilian, mixed",Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
PUB002,Anxiety disorder,Anxiety,MH,,,,Mental health,Horvath,38,Saliva,"Caucasian, African Brazilian, mixed",Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
PUB002,Anxiety disorder,Anxiety,MH,,,,Mental health,Horvath,40,Saliva,"Caucasian, African Brazilian, mixed",Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
PUB002,Anxiety disorder,Anxiety,MH,,,,Mental health,Horvath,56,Saliva,"Caucasian, African Brazilian, mixed",Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
PUB002,Telomere length,Telomere length,Other,,,,Other,Horvath,76,Saliva,"Caucasian, African Brazilian, mixed",Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
PUB002,Anxiety disorder,Anxiety,MH,,,,Mental health,Horvath,76,Saliva,"Caucasian, African Brazilian, mixed",Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
PUB003,Acute lymphoblastic leukemia (ALL),Cancer,Multiple_groups,Cancer,Haem,,Physical health,Horvath,757,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cardiovascular disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,796,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Acute lymphoblastic leukemia (ALL),Cancer,Multiple_groups,Cancer,Haem,,Physical health,Hannum,812,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Acute lymphoblastic leukemia (ALL),Cancer,Multiple_groups,Cancer,Haem,,Physical health,Hannum,825,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Acute lymphoblastic leukemia (ALL),Cancer,Multiple_groups,Cancer,Haem,,Physical health,Horvath,825,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Hypertensive disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,846,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Diseases of the Respiratory System,Respiratory diseases,Respiratory,,,,Physical health,Horvath,850,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cardiovascular disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,856,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Ischaemic heart disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,865,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Endocrine disease,Endocrine disease,Metabolic/endocrinological,,,,Physical health,Horvath,865,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cardiovascular disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,869,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
