Factor_category,Multiple_cat1,Multiple_cat2,Multiple_cat3,Factor_more_refined,Factor_refined,Clock_C,N total,Tissue_category,Race_Ethnicity,Sex,Twin_study,Cohort_C,Link
MH,,,,Depression,Depression (MDD),GrimAge,109,Blood,Caucasian;Black;Asian;Hispanic/Non-hispanic,Both,No,Recruited,https://www.nature.com/articles/s41398-021-01302-0
MH,,,,Depression,Depression (MDD),GrimAge,109,Blood,Caucasian;Black;Asian;Hispanic/Non-hispanic,Both,No,Recruited,https://www.nature.com/articles/s41398-021-01302-0
MH,,,,Depression,Depression (MDD),GrimAge,109,Blood,Caucasian;Black;Asian;Hispanic/Non-hispanic,Both,No,Recruited,https://www.nature.com/articles/s41398-021-01302-0
MH,,,,Anxiety,Anxiety disorder,Horvath,20,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,34,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,34,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,34,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,34,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,38,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,40,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,40,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,40,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,40,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,56,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,56,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,56,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
