PUB ID,Publication Year,Author List,Title,Journal,DOI,Url
PUB001,2021,"Protsenko, Ekaterina; Yang, Ruoting; Nier, Brent; Reus, Victor; Hammamieh, Rasha; Rampersaud, Ryan; Wu, Gwyneth W. Y.; Hough, Christina M.; Epel, Elissa; Prather, Aric A.; Jett, Marti; Gautam, Aarti; Mellon, Synthia H.; Wolkowitz, Owen M.","""GrimAge,"" an epigenetic predictor of mortality, is accelerated in major depressive disorder",Translational Psychiatry,10.1038/s41398-021-01302-0,https://www.nature.com/articles/s41398-021-01302-0
PUB002,2021,"Cerveira de Baumont, Angelica; Hoffmann, Mauricio Scopel; Bortoluzzi, Andressa; Fries, Gabriel R.; Lavandoski, Patr°cia; Grun, Lucas K.; Guimar∆es, Luciano S. P.; Guma, F†tima T. C. R.; Salum, Giovanni Abrah∆o; BarbÇ-Tuana, Florencia M.; Manfro, Gisele G.",Telomere length and epigenetic age acceleration in adolescents with anxiety disorders,Scientific Reports,10.1038/s41598-021-87045-w,https://www.nature.com/articles/s41598-021-87045-w
PUB003,2022,"Macdonald-Dunlop, Erin; Taba, Nele; Klari?, Lucija; Frkatovi?, Azra; Walker, Rosie; Hayward, Caroline; Esko, T‰nu; Haley, Chris; Fischer, Krista; Wilson, James F.; Joshi, Peter K.",A catalogue of omics biological ageing clocks reveals substantial commonality and associations with disease risk,Aging (Albany NY),10.18632/aging.203847,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB005,2021,"Yang, Ruoting; Wu, Gwyneth W. Y.; Verhoeven, Josine E.; Gautam, Aarti; Reus, Victor I.; Kang, Jee In; Flory, Janine D.; Abu-Amara, Duna; Hood, Leroy; Doyle, Francis J.; Yehuda, Rachel; Marmar, Charles R.; Jett, Marti; Hammamieh, Rasha; Mellon, Synthia H.; Wolkowitz, Owen M.",A DNA methylation clock associated with age-related illnesses and mortality is accelerated in men with combat PTSD,Molecular Psychiatry,10.1038/s41380-020-0755-z,https://www.nature.com/articles/s41380-020-0755-z
PUB006,2022,"Liang, Xiaoyu; Sinha, Rajita; Justice, Amy C.; Cohen, Mardge H.; Aouizerat, Bradley E.; Xu, Ke",A new monocyte epigenetic clock reveals nonlinear effects of alcohol consumption on biological aging in three independent cohorts (N = 2242),Alcoholism: Clinical and Experimental Research,10.1111/acer.14803,https://onlinelibrary.wiley.com/doi/abs/10.1111/acer.14803
PUB008,2021,"Corley, Michael J.; Sacdalan, Carlo; Pang, Alina P. S.; Chomchey, Nitiya; Ratnaratorn, Nisakorn; Valcour, Victor; Kroon, Eugene; Cho, Kyu S.; Belden, Andrew C.; Colby, Donn; Robb, Merlin; Hsu, Denise; Spudich, Serena; Paul, Robert; Vasan, Sandhya; Ndhlovu, Lishomwa C.; Groups, the SEARCH010/RV254 and SEARCH013/RV304 study",Abrupt and altered cell-type specific DNA methylation profiles in blood during acute HIV infection persists despite prompt initiation of ART,PLOS Pathogens,10.1371/journal.ppat.1009785,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009785
PUB009,2021,"Teeuw, Jalmar; Ori, Anil P. S.; Brouwer, Rachel M.; de Zwarte, Sonja M. C.; Schnack, Hugo G.; Hulshoff Pol, Hilleke E.; Ophoff, Roel A.","Accelerated aging in the brain, epigenetic aging in blood, and polygenic risk for schizophrenia",Schizophrenia Research,10.1016/j.schres.2021.04.005,https://www.sciencedirect.com/science/article/pii/S0920996421001481
PUB010,2022,"Cao, Xue; Li, Wenjuan; Wang, Ting; Ran, Dongzhi; Davalos, Veronica; Planas-Serra, Laura; Pujol, Aurora; Esteller, Manel; Wang, Xiaolin; Yu, Huichuan",Accelerated biological aging in COVID-19 patients,Nature Communications,10.1038/s41467-022-29801-8,https://www.nature.com/articles/s41467-022-29801-8
PUB011,2021,"Kho, Minjung; Wang, Yi Zhe; Chaar, Dima; Zhao, Wei; Ratliff, Scott M.; Mosley, Thomas H.; Peyser, Patricia A.; Kardia, Sharon L.R.; Smith, Jennifer A.",Accelerated DNA methylation age and medication use among African Americans,Aging (Albany NY),10.18632/aging.203115,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8221348/
PUB012,2022,"Shinko, Yutaka; Okazaki, Satoshi; Otsuka, Ikuo; Horai, Tadasu; Kim, Saehyeon; Tanifuji, Takaki; Hishimoto, Akitoyo",Accelerated epigenetic age and shortened telomere length based on DNA methylation in Nicolaides-Baraitser syndrome,Molecular Genetics & Genomic Medicine,10.1002/mgg3.1876,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8922957/
